golden_id,customer_issue,support_response,human_relevance,human_helpfulness,human_response_quality,human_notes,rag_response,llm_relevance,llm_helpfulness,llm_response_quality
90,@SpotifyCares Sure thing. Checked Chrome on a different computer and it seemed to be working fine there.,"@745877 We'll take note of this. By the way, we've replied to your DM. Let's carry on chatting there /YM",,,,,"@745877 We'll take note of this. By the way, we've replied to your DM. Let's carry on chatting there /YM",,,
91,@115888 bruh why is my music making like robot noises whenever i put it on a flat surface,@415594 Hey Mason. Can you check if your device speakers are covered when you place it on a flat surface? This can affect sound quality /JU,,,,,@415594 Hey Mason. Can you check if your device speakers are covered when you place it on a flat surface? This can affect sound quality /JU,,,
92,"@115888, don’t you ever suggest #despacito to me ever again. Got it?","@129021 Hey Daniel! Thanks for your feedback. To reduce the number of Suggested Tracks you get, try adding more artists into your playlists /CH",,,,,"@129021 Hey Daniel! Thanks for your feedback. To reduce the number of Suggested Tracks you get, try adding more artists into your playlists /CH",,,
93,@SpotifyCares I need to speak to someone in the charity department as soon as possible. Can you please help?,@378825 Hi there! We'd recommend visiting this site for more info: https://t.co/f8mbqWWue5 /NQ,,,,,@378825 Hi there! We'd recommend visiting this site for more info: https://t.co/f8mbqWWue5 /NQ,,,
94,@SpotifyCares im using mac,@501686 Thanks! Can you also give us some info about what's going on? /RB,,,,,@501686 Thanks! Can you also give us some info about what's going on? /RB,,,
95,@SpotifyCares yup. Good now. Thanks.,@808656 No worries! Just give us a shout if the problem persists. We're... https://t.co/zOXI69QSqg /GS,,,,,@808656 No worries! Just give us a shout if the problem persists. We're... https://t.co/zOXI69QSqg /GS,,,
96,@SpotifyCares No that didn’t work :( I’m attaching a screenshot of what it’s doing w/the app open https://t.co/Lo3IuLmPk0,@249035 Thanks for the screenshot. Can you let us know the device iOS and version of Spotify you're using? We'll see what we can suggest /JI,,,,,@249035 Thanks for the screenshot. Can you let us know the device iOS and version of Spotify you're using? We'll see what we can suggest /JI,,,
97,"@SpotifyCares Nope, there was no crash, this has been an on-going issue and no matter how many times I see the ads, I never get a full 30 minutes of ad-free music.","@618331 Thanks for confirming. Just to check, did you definitely watch the video ad that grants you 30 minutes ad-free listening in full after hearing the offer? /MU",,,,,"@618331 Thanks for confirming. Just to check, did you definitely watch the video ad that grants you 30 minutes ad-free listening in full after hearing the offer? /MU",,,
98,@SpotifyCares I just got an email saying it was a receipt. I still haven't been able to listen to a single song. What screen shots am I supposed to get again? I if I find I have been billed again to be correct with an UNUSABLE DESTROYED ACCOUNT. THEN I'VE HAD ENOUGH,"@287348 Don't worry, we'll be sure to get this cleared up for you. We've sent over a DM with more help. Reply there when you get the chance! /J",,,,,"@287348 Don't worry, we'll be sure to get this cleared up for you. We've sent over a DM with more help. Reply there when you get the chance! /J",,,
99,"hey @115888, do you have any plans to release any Apple Watch app? Would be great to listen to Spotify music when out for a jog",@557406 Hi there! Check out the official idea and add your vote to let our devs know it's something you'd like to see: https://t.co/SEK4E4gi22 /JM,,,,,@557406 Hi there! Check out the official idea and add your vote to let our devs know it's something you'd like to see: https://t.co/SEK4E4gi22 /JM,,,
100,@SpotifyCares Hello :) Thanks for the quick response - I'm referring to South Africa! X,"@383487 1: No worries. At this time, we're afraid that Spotify isn't available in South Africa, but we're launching in new countries as...",,,,,@383487 2: often as possible. Be sure to add your email at https://t.co/X8DVSX9QgM /NQ,,,
101,@SpotifyCares Just used it for a bit and my phone didn’t seem to heat up this time around. Looks like all is well! Thanks again,@698868 That's great to hear! Give us a shout if the app ever misbehaves again. We'll be... https://t.co/LgAM6ky9Vv /DV,,,,,@698868 That's great to hear! Give us a shout if the app ever misbehaves again. We'll be... https://t.co/LgAM6ky9Vv /DV,,,
102,"@SpotifyCares the overlay is nice, but it sticks around for long enough to get in the way of things","@160032 Hey Hannah, thanks for the feedback! Don't worry, we'll let our devs team know this is something you'd like to see /GK",,,,,"@160032 Hey Hannah, thanks for the feedback! Don't worry, we'll let our devs team know this is something you'd like to see /GK",,,
103,@115888 Why? https://t.co/rsBY0b7YS3,@643696 Hey! Can you fire over your account's email address or username via DM? We'll take a look backstage /RC https://t.co/ldFdZRiNAt,,,,,@643696 Hey! Can you fire over your account's email address or username via DM? We'll take a look backstage /RC https://t.co/ldFdZRiNAt,,,
104,.@SpotifyCares I have a premium account but keep getting this message....#help https://t.co/nUsWpyzUE6,@551514 Hi Melissa! That doesn't sound good. Can you DM us your account's email address? We'll take a look under the hood /AU https://t.co/ldFdZRiNAt,,,,,@551514 Hi Melissa! That doesn't sound good. Can you DM us your account's email address? We'll take a look under the hood /AU https://t.co/ldFdZRiNAt,,,
105,@SpotifyCares Yea that’s exactly what I ended up doing !! :$,@407803 Hey there! Is the issue still happening? Keep us posted /DF,,,,,@407803 Hey there! Is the issue still happening? Keep us posted /DF,,,
106,@SpotifyCares Will do so now I wait,@662174 Sounds like a plan! Just let us know if you ever need us again. We're always here to help /AN,,,,,@662174 Sounds like a plan! Just let us know if you ever need us again. We're always here to help /AN,,,
107,Spotify is down and I don’t think I can go on with my life... 🙃 https://t.co/UB7FFY3tgv,@807672 Hey Robyn! Everything should be running smoothly now. Let us know if you're still getting issues /GS,,,,,@807672 Hey Robyn! Everything should be running smoothly now. Let us know if you're still getting issues /GS,,,
108,@115888 How ?,@775406 Hi there! Are you trying to sign up for one of our Holiday Offers? You can give it a try at https://t.co/nbDUOTogGZ. Let us know how it goes /GN,,,,,"@121502 Hey there! The Intro Offer of ₱9 for 3 months is for those who haven't had Premium before. If you haven't been on a subscription in the past, head over to https://t.co/k4M4Rau9Gq to take this offer 😉 /SY",,,
109,@SpotifyCares Only been waiting 5 years!!!,"@129061 We hear you loud and clear! We can’t make any promises but we’ll pass your feedback onto the right folks. In the meantime, let us know if you need help with anything else /GU",,,,,"@129061 We hear you loud and clear! We can’t make any promises but we’ll pass your feedback onto the right folks. In the meantime, let us know if you need help with anything else /GU",,,
110,"@SpotifyCares I accidentally registered for a premium subscription for 1 year, Can I cancel it? I intend to try the free 1 month subscriptio",@344223 Hey there! Can you DM us your account's email address or username? We'll take a look backstage /RH https://t.co/ldFdZRiNAt,,,,,@344223 Hey there! Can you DM us your account's email address or username? We'll take a look backstage /RH https://t.co/ldFdZRiNAt,,,
111,@117168 why can't I pay monthly for Premium? It's only showing me annual subscription and I don't want to pay an entire year in advance,@431710 Hey! Can you try signing up at https://t.co/WB5TSxRfDe using an incognito window? Let us know if it makes a difference /CB,,,,,@431710 Hey! Can you try signing up at https://t.co/WB5TSxRfDe using an incognito window? Let us know if it makes a difference /CB,,,
112,my guilty pleasure roll deep is no longer on spotify why @SpotifyCares,@466815 Hey there! Can you let us know the country your account is currently set to? We'll take a look backstage /LO,,,,,@466815 Hey there! Can you let us know the country your account is currently set to? We'll take a look backstage /LO,,,
113,@SpotifyCares made a new student discount yesterday w help from Spotify and I still have ads/can’t pick what song I listen to,@405610 Hi there! Can you send us a DM with your account's email address? We'll have a look backstage /ST https://t.co/ldFdZRiNAt,,,,,@405610 Hi there! Can you send us a DM with your account's email address? We'll have a look backstage /ST https://t.co/ldFdZRiNAt,,,
114,"@28787 why is ""anything but mine"" from live in no shoes nation showing as unavailable on @115888 , i need that song in my life","@267247 Hey Matt! We’d love to have all of their stuff available, but we have some info about content here: https://t.co/MEjmIRL2eB /PX",,,,,"@267247 Hey Matt! We’d love to have all of their stuff available, but we have some info about content here: https://t.co/MEjmIRL2eB /PX",,,
115,@SpotifyCares please msg me as I got a issue with your family plan. Yes I sent the invites. It's not working. Please help! I paid extra !,@330990 Hi! We've replied to your DM. We'll continue helping there 🙂 /BX,,,,,@330990 Hi! We've replied to your DM. We'll continue helping there 🙂 /BX,,,
116,@SpotifyCares Aces. Thanks a mill.,@672293 No worries. Let us know if we can help with anything else 🙂 /AY,,,,,@672293 No worries. Let us know if we can help with anything else 🙂 /AY,,,
117,@SpotifyCares 👎🏾👎🏾👎🏾👎🏾👎🏾👎🏾👎🏾👎🏾👎🏾👎🏾👎🏾👎🏾👎🏾,"@548837 We heard you. Rest assured your feedback will not fall on deaf ears. If there's anything else we can help with, just give us a shout /ME",,,,,"@133966 Cool. If you need us again, you know where to find us. Keep on rocking and https://t.co/mJs5KObHO4 🎶 /RC",,,
118,@SpotifyCares + but Spotify website still says I'm subscribed thru Vodafone. Does it take a while to cancel the premium or can I re-subscribe now? Thanks!,"@541048 Hey there, we're here to help. Can you DM us your account's email address? We'll take a look backstage /AK https://t.co/ldFdZR1cbT",,,,,"@541048 Hey there, we're here to help. Can you DM us your account's email address? We'll take a look backstage /AK https://t.co/ldFdZR1cbT",,,
119,"@SpotifyCares And to be fair, I really care about children hearing this ad, especially during the Christmas season. You promote your classic Christmas playlist, and it is family oriented. Offending me personally is not relevant.","@777605 We hear you 🎧 Rest assured, your feedback will be passed on to the right folks. Anything else, give us a shout /PX",,,,,"@777605 We hear you 🎧 Rest assured, your feedback will be passed on to the right folks. Anything else, give us a shout /PX",2.0,2.0,2.0
120,When you really need to listen to music for sanity purposes and @115888 won't load....,"@784572 Hi there, that doesn't sound good! Does restarting your device help at all? Also, is this happening over 3G/4G, WiFi, or both? Keep us posted /AK",,,,,"@784572 Hi there, that doesn't sound good! Does restarting your device help at all? Also, is this happening over 3G/4G, WiFi, or both? Keep us posted /AK",5.0,4.0,4.0
121,"@SpotifyCares I'm trying to switch my account to a student account, but it says that my email is already in use???",@712111 Hey there! Could you DM us your account's username and email address? We'll take a look backstage /DF https://t.co/ldFdZRiNAt,,,,,@712111 Hey there! Could you DM us your account's username and email address? We'll take a look backstage /DF https://t.co/ldFdZRiNAt,,,
122,@115888 i can't go spotify premium cause it doesn't appear😭 PLEASE NOTICE ME @115888 https://t.co/CsrTrIW08U,@802389 Hi! We've just replied to your DM. Check it out /JE,,,,,@802389 Hi! We've just replied to your DM. Check it out /JE,,,
123,@SpotifyCares I'm trying to close an account and it won't allow me as it says my Premium ends on 11/10/17. Could you help please?,"@629104 Hey Megan, help's here! Could you DM us your account's username and email address? We'll take a look backstage for you /BX https://t.co/ldFdZRiNAt",,,,,"@629104 Hey Megan, help's here! Could you DM us your account's username and email address? We'll take a look backstage for you /BX https://t.co/ldFdZRiNAt",,,
124,"@SpotifyCares it finally showed up again, here ya go. https://t.co/nEBC58Mvns",@209251 Hmm. Could you DM us your account's email address or username? We'll take a look under the hood /KB https://t.co/ldFdZRiNAt,,,,,@209251 Hmm. Could you DM us your account's email address or username? We'll take a look under the hood /KB https://t.co/ldFdZRiNAt,,,
125,@SpotifyCares Thanks! So far so good. 🤗,"@808011 That's good to hear! If you need anything else, just shout and we'll come running 🏃 /FR",,,,,"@808011 That's good to hear! If you need anything else, just shout and we'll come running 🏃 /FR",,,
126,Why are the ads on Spotify so damn annoying? They are so loud with booming music and screaming people... STOP @115888,@537741 Hey there! Thanks for the feedback – we appreciate it. We’ll get this passed onto the right team /NQ,,,,,@537741 Hey there! Thanks for the feedback – we appreciate it. We’ll get this passed onto the right team /NQ,,,
127,"@115888 so this is happening everytime i open the ios app, since the latest update, please do something about it, it’s very annoying.

Lars

Happy days https://t.co/xxzH6wCpog","@711378 Hey, that's not good! Can you let us know which device, iOS and exact Spotify version you're using? We'll see what we can suggest /YM",,,,,"@711378 Hey, that's not good! Can you let us know which device, iOS and exact Spotify version you're using? We'll see what we can suggest /YM",,,
128,@SpotifyCares Someone changed the email on my account and now I can't login! Please help!!! @115888 @117168,"@557844 Hey Jessica, that's not cool! Can you DM us your account's username and email address? We'll take a look backstage /JX https://t.co/ldFdZRiNAt",,,,,"@557844 Hey Jessica, that's not cool! Can you DM us your account's username and email address? We'll take a look backstage /JX https://t.co/ldFdZRiNAt",,,
129,@115888 @117168 Is there an Apple Watch app coming soon? I want to get on some runs w my favorite Spotify playlists!,@119922 Hey! Check out the official idea and add your vote to let our devs know it's something you'd like to see: https://t.co/SEK4E4gi22 /RB,,,,,@119922 Hey! Check out the official idea and add your vote to let our devs know it's something you'd like to see: https://t.co/SEK4E4gi22 /RB,,,
130,Hi @115888 so I shuffled @67091's music and then Katy perry came on and idk if you've heard those artists but they are very different so wth,@597889 Hey Clarissa! Can you DM us your account's email address? We'll check things backstage and see what we can suggest /RI https://t.co/ldFdZRiNAt,,,,,@597889 Hey Clarissa! Can you DM us your account's email address? We'll check things backstage and see what we can suggest /RI https://t.co/ldFdZRiNAt,,,
131,@SpotifyCares 11.1.2,@770256 Thanks! Can you try logging out and back in to the app? Does restarting your device help? /CH,,,,,@770256 Thanks! Can you try logging out and back in to the app? Does restarting your device help? /CH,,,
132,"@SpotifyCares i can't seem to connect an account with spotify premium for family, help!","@563248 Hi, help's here! Can you DM us both your accounts' usernames and email addresses? We’ll take a look backstage 🔍 /TR https://t.co/ldFdZRiNAt",,,,,"@563248 Hi, help's here! Can you DM us both your accounts' usernames and email addresses? We’ll take a look backstage 🔍 /TR https://t.co/ldFdZRiNAt",,,
133,@SpotifyCares Already tried with no success,@795213 Got it! Could you send us a screenshot of the issue you're having? Keep us posted /DF,,,,,@795213 Got it! Could you send us a screenshot of the issue you're having? Keep us posted /DF,,,
134,@117153 @SpotifyCares Still can’t access my premium,"@560093 Hey, help's here! Can you DM us your account's username or email address? We'll take a look under the hood /RS https://t.co/ldFdZRiNAt",,,,,"@560093 Hey, help's here! Can you DM us your account's username or email address? We'll take a look under the hood /RS https://t.co/ldFdZRiNAt",,,
135,"Had @115888 for 5 years, canceling my subscription. WORST customer service ive ever had. About to get @115948",@194240 Sorry for the wait. We've just replied to your DM. Can you check your Messages again? /CM,,,,,@194240 Sorry for the wait. We've just replied to your DM. Can you check your Messages again? /CM,,,
136,@SpotifyCares i have a premium account but the system is saying I’m not eligible for Spotify with Hulu? Help!,"@178834 Hey Terry, help's here! Could you DM us your account's username and email address? We'll take a look backstage /DQ https://t.co/ldFdZRiNAt",,,,,"@178834 Hey Terry, help's here! Could you DM us your account's username and email address? We'll take a look backstage /DQ https://t.co/ldFdZRiNAt",,,
137,Hey @115888 can I get a playlist of Christmas music based on my listening preferences? That would be really cool. Thanks.,@761582 Hi there. This sounds like fun! Suggest it in our Community at https://t.co/rtDvYZOF32 and get support from other users /JU,,,,,@761582 Hi there. This sounds like fun! Suggest it in our Community at https://t.co/rtDvYZOF32 and get support from other users /JU,,,
138,"@115888 Does your family package no longer go on sale? Been waiting a long time, perhaps a year?","@784811 Hi there, the cavalry's here! You can still sign up for the Premium for Family subscription. Just head here: https://t.co/XbTkDxdrE7. Hope this helps /AK",,,,,"@784811 Hi there, the cavalry's here! You can still sign up for the Premium for Family subscription. Just head here: https://t.co/XbTkDxdrE7. Hope this helps /AK",,,
139,The fact that you can't add the currently playing song to a playlist on @115888 is kind of ridiculous.,"@310738 Hey Brad! Don’t worry, we can help. Can you let us know the device/OS you’re using? We'll see what we can suggest /MX",,,,,"@310738 Hey Brad! Don’t worry, we can help. Can you let us know the device/OS you’re using? We'll see what we can suggest /MX",,,
140,@115888 @SpotifyCares how come I’m one of @37032 biggest fans yet I don’t have a presale code in my email inbox. 10AM IS NEAR🤔🤔,@624411 Hey Meesh. We’re afraid the codes are sent to those who listen to dvsn the most on Spotify. Sorry! We'll pass on your feedback /JP,,,,,@624411 Hey Meesh. We’re afraid the codes are sent to those who listen to dvsn the most on Spotify. Sorry! We'll pass on your feedback /JP,,,
141,HALP! @SpotifyCares https://t.co/4ZG1m8PzwC,"@239733 Hey, help's here! Can you let us know what's happening exactly? We'd love to lend a hand 🙂 /KC",,,,,"@239733 Hey, help's here! Can you let us know what's happening exactly? We'd love to lend a hand 🙂 /KC",,,
142,"@SpotifyCares honestly, how were you guys not prepared for iPhone X launch? From a technical perspective, the changes aren’t that hard.","@435643 Hi Michael. We're sorry you feel that way. We appreciate your feedback on this, and we'll be sure to pass it on to the right folks /LM",,,,,"@435643 Hi Michael. We're sorry you feel that way. We appreciate your feedback on this, and we'll be sure to pass it on to the right folks /LM",,,
143,"@SpotifyCares Yes, please! No new rumors about the HiFi tier since April - I‘m a little worried!","@312172 No worries. We've passed it on. If you need anything else, just let us know. We're always here to help! /CB",,,,,"@312172 No worries. We've passed it on. If you need anything else, just let us know. We're always here to help! /CB",,,
144,@SpotifyCares I'm getting an extended delay (~30 secs) when auth'ing my third-party app. Known issue?,"@394727 Hi Jay, help's here! Can you let us know more about your concern? Also, send us the name of the third-party app you're trying to use /SF",,,,,"@394727 Hi Jay, help's here! Can you let us know more about your concern? Also, send us the name of the third-party app you're trying to use /SF",,,
145,"dear @115888,

When I search for an artist name a full name match should also be on top of your interpreted matches.

sincerely,

Stefan","@124933 Hey! Can you tell us more about what's happening? What device, operating system, and Spotify version are you on? /AY",,,,,"@124933 Hey! Can you tell us more about what's happening? What device, operating system, and Spotify version are you on? /AY",,,
146,"@115888 @SpotifyCares I want The Warm Up, Friday Night Lights and Truly Yours on spotify. All are J Cole's mixtapes @52326 #dreamville",@518306 Hey there! We’ll have it available to you as soon as it’s available to us. https://t.co/0i8GpimuDa /LO,,,,,@518306 Hey there! We’ll have it available to you as soon as it’s available to us. https://t.co/0i8GpimuDa /LO,,,
147,"@SpotifyCares Already did, thanks. Hopefully by 2020 we will have access to it. 😉👍🏻","@487180 We're crossing our fingers too! In the meantime, give us a shout if there's anything else /RC",,,,,"@487180 We're crossing our fingers too! In the meantime, give us a shout if there's anything else /RC",,,
148,"@115888 Hi, When is Spotify going to be Roku friendly or are you going to be @127972 friendly?","@195942 Hi! We don't have any updates for Roku yet. Don't worry, we'll let everyone know as soon as we have news to share 🙂 /RR",,,,,"@195942 Hi! We don't have any updates for Roku yet. Don't worry, we'll let everyone know as soon as we have news to share 🙂 /RR",,,
149,@116130 Why is my premium account telling me I’ve reached my download limit ??,"@371218 Hey! Right now, you can download up to 3.333 songs to use Offline per device. More info at https://t.co/1z13MJsB33 /BH",,,,,"@371218 Hey! Right now, you can download up to 3.333 songs to use Offline per device. More info at https://t.co/1z13MJsB33 /BH",,,
150,@SpotifyCares MAKE IT FAST PLEASE I WANT TO LISTEN IT,@647473 Got it. We're hoping licensing won't be an issue to make this album available on Spotify. Let us know if you have other questions /GK,,,,,@647473 Got it. We're hoping licensing won't be an issue to make this album available on Spotify. Let us know if you have other questions /GK,,,
151,yo @115888 why have a couple of the saved playlists been unsaved from my phone :(,"@419681 Hey Ella, that's no fun. Just to check, was your music unsaved (removed from your library) or undownloaded (desynced)? /JE",,,,,"@419681 Hey Ella, that's no fun. Just to check, was your music unsaved (removed from your library) or undownloaded (desynced)? /JE",,,
152,"@SpotifyCares Hello, my spotify and hulu aren't working and spotify charged me another 5 dollars but I already have premium and paid for this month",@666462 Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ https://t.co/ldFdZRiNAt,,,,,@666462 Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ https://t.co/ldFdZRiNAt,,,
153,"@SpotifyCares A mini player view?   Something that shows play controls, Track info but in a mini view so the whole client doesnt need to be visible.",@166010 Don't worry. You can support a similar idea by voting for it at https://t.co/gauPI6VAPw. Give us a shout if you have other questions /DV,,,,,@166010 Don't worry. You can support a similar idea by voting for it at https://t.co/gauPI6VAPw. Give us a shout if you have other questions /DV,,,
154,omg like why isn't the whole believe album on spotify yet plz it's 2017 @115888,"@746949 Hey, we’ll have it available to you as soon as it’s available to us! https://t.co/0i8GpimuDa /RB",,,,,"@746949 Hey, we’ll have it available to you as soon as it’s available to us! https://t.co/0i8GpimuDa /RB",,,
155,"@SpotifyCares Thanks. I mean, not that I don’t like heavy metal but surely wasn’t ready to listen that while listening to an opera singer.",@289035 We hear you! Don't worry - we'll pass your feedback on to the team. Have an awesome day 😁 /SY,,,,,@289035 We hear you! Don't worry - we'll pass your feedback on to the team. Have an awesome day 😁 /SY,,,
156,@115888 same problem. Can you help ? in this case using latest software on iPhone 6. https://t.co/k9d7XnieaP,@321976 Hi there! Can you let us know the iOS and Spotify versions you're rocking? We'll see what we can suggest /NY,,,,,@321976 Hi there! Can you let us know the iOS and Spotify versions you're rocking? We'll see what we can suggest /NY,,,
157,@115888 misleads you to buy 3 months premium for 9php then charges you 129. No where on the payment page tells you that if you charge it to your phone credits it will charge 129 instead of the 9php as advertised. That's just bad business practice tsk.,@222240 Hi! Help's here. Could you DM us your account's email address? We'll take a look backstage /AU https://t.co/ldFdZRiNAt,,,,,@222240 Hi! Help's here. Could you DM us your account's email address? We'll take a look backstage /AU https://t.co/ldFdZRiNAt,,,
158,"@SpotifyCares on your UK website, the renewal date is using US formatting https://t.co/aqfk1Kci9m","@546211 Hi Joylon! Thanks for the heads-up. Not to worry, your feedback is noted and passed on to the right team. Anything else, let us know /NY",,,,,"@546211 Hi Joylon! Thanks for the heads-up. Not to worry, your feedback is noted and passed on to the right team. Anything else, let us know /NY",,,
159,@115888 we need to have a talk 🤧,"@540086 Hey there, the cavalry's here! Could you DM us some more info about what's going on? We'll see what we can suggest /BX https://t.co/ldFdZRiNAt",,,,,"@540086 Hey there, the cavalry's here! Could you DM us some more info about what's going on? We'll see what we can suggest /BX https://t.co/ldFdZRiNAt",,,
160,@SpotifyCares Thanks. It's a shame. Maybe something you could consider. Or creating playlists without any explicit lyrics?,@140456 Nice idea! It's definitely something for the team to consider and we'll make sure it reaches them. We appreciate the feedback /JK,,,,,@140456 Nice idea! It's definitely something for the team to consider and we'll make sure it reaches them. We appreciate the feedback /JK,,,
161,@115888 where are the audio books?,"@505641 Hey there! Just head to Browse &gt; Word &gt; Audiobooks. If you need a hand with anything else, we're just a tweet away 🙂 /MG",,,,,"@505641 Hey there! Just head to Browse &gt; Word &gt; Audiobooks. If you need a hand with anything else, we're just a tweet away 🙂 /MG",,,
162,Hi @115888. Is there a way to clear the queue in your Android app? It messes me when I'm in the car. 😢,@272922 Hey there! You can remove tracks in the Play Queue by following the steps here: https://t.co/Lx02el9U59. Hope this helps /PL,,,,,@272922 Hey there! You can remove tracks in the Play Queue by following the steps here: https://t.co/Lx02el9U59. Hope this helps /PL,,,
163,@SpotifyCares my UNiDAYS credentials are being used for a spotify  that I don't use anymore&amp;I don't know how to disconnect the accounts,@642975 Hey there! Can you DM us your account's email address? We'll take a look backstage /RB https://t.co/ldFdZR1cbT,,,,,@642975 Hey there! Can you DM us your account's email address? We'll take a look backstage /RB https://t.co/ldFdZR1cbT,,,
164,@115888 HEY HAVING A LOGIN SCREEN ON MOBILE THAT'S VERY RAPIDLY FLASHING PURPLE / BLACK IS A VERY BAD IDEA,@202223 Hey Jamie! That doesn't sound good. Can you send us a screenshot of what you're seeing? We'll see what we can suggest /SU,,,,,@202223 Hey Jamie! That doesn't sound good. Can you send us a screenshot of what you're seeing? We'll see what we can suggest /SU,,,
165,@SpotifyCares Put All Night By Steve Aoki and Lauren Jauregui on Today's Top Hits :),"@274165 Hey there! Thanks for the feedback. Our Curation team is independent. They use taste, data, research, and trends to create playlists, but we’ll pass on your suggestion. Just give us a shout if there's anything else 🙂 /PC",,,,,"@274165 Hey there! Thanks for the feedback. Our Curation team is independent. They use taste, data, research, and trends to create playlists, but we’ll pass on your suggestion. Just give us a shout if there's anything else 🙂 /PC",,,
166,"@688460 @SpotifyCares Udah gak ada penawaran yang pake pulsa mas. Selain itu, dia hanya bisa IM3 dan 3.",@579736 2: necessary and you should be good to go! Let us know if you have other questions /GK,,,,,@579736 2: necessary and you should be good to go! Let us know if you have other questions /GK,,,
167,@117168 argh. I can’t reset my password,@701861 Hey Stephanie! The cavalry's here. Could you DM us your account's email address? We'll take a look under the hood /KB https://t.co/ldFdZRiNAt,,,,,@701861 Hey Stephanie! The cavalry's here. Could you DM us your account's email address? We'll take a look under the hood /KB https://t.co/ldFdZRiNAt,,,
168,"@SpotifyCares I can’t remember my login details, my payment details are obsolete and want to upgrade to family.",@697317 Hey! Can you DM us your account's email address? We'll see what we can suggest /CB https://t.co/ldFdZRiNAt,,,,,@697317 Hey! Can you DM us your account's email address? We'll see what we can suggest /CB https://t.co/ldFdZRiNAt,,,
169,"Hey, I can not join to a premium for family plan, every time I try to accept an invitation, i got an error. Could somebody please help? @115888","@813232 Hey Sergio, help's arrived! Can you DM us the usernames or email addresses of your account and the plan owner's? A screenshot of the error message you're receiving would be handy too /PC https://t.co/ldFdZRiNAt",,,,,"@813232 Hey Sergio, help's arrived! Can you DM us the usernames or email addresses of your account and the plan owner's? A screenshot of the error message you're receiving would be handy too /PC https://t.co/ldFdZRiNAt",,,
170,@SpotifyCares 1.0.65.320.gac7a8e02,@296952 Can you try the steps here for us: https://t.co/EqisDMwZAT? Let us know if the issue persists /JN,,,,,"@116128 Thanks! It's not ideal, but a clean reinstall of the app should help out: https://t.co/EqisDMwZAT. Let us know how it plays out /KB",,,
171,"@115888 i have lost username, email amd password of my spotify premium account, can you help me please?","@151202 Hey there, helps here! Could you send us a DM with the first 6 and last 4 of your payment form? For security purposes, be sure you don't send the full card number. We'll take a look backstage and get back to you in a beat /ZO https://t.co/ldFdZRiNAt",,,,,"@151202 Hey there, helps here! Could you send us a DM with the first 6 and last 4 of your payment form? For security purposes, be sure you don't send the full card number. We'll take a look backstage and get back to you in a beat /ZO https://t.co/ldFdZRiNAt",,,
172,@115888 City University of Seattle is still not listed in Canada https://t.co/APA4L3VMsb,@491765 Thanks for the update. Can you DM us your account's email address? We'll take a look backstage /MG https://t.co/ldFdZRiNAt,,,,,@491765 Thanks for the update. Can you DM us your account's email address? We'll take a look backstage /MG https://t.co/ldFdZRiNAt,,,
173,@SpotifyCares can I delete songs off my artist profile?,@270295 Hey! We'd recommend reaching out to the Artist Services team for help with this. Let us know how you get on /C,,,,,@270295 Hey! We'd recommend reaching out to the Artist Services team for help with this. Let us know how you get on /C,,,
174,@SpotifyCares Does the new Sonos 1 integrate with an existing set up? Or do u have 2 carry it round the house in order to use Alexa? #sonos1,"@283025 1: Hi Colin, help has arrived. Can you let us know what's happening exactly? It'd be great if you could send over the device model/OS... /ME",,,,,@283025 2: that you're using to connect Sonos and Alexa. We'll take a look /ME,,,
175,@125633 ANDROID! I just wanna.. say ANDROID. :) (Ok I know it's coming),"@335533 It'll be with you soon on Android, RYMDKRAFT... Promise 😉 /T",,,,,"@335533 It'll be with you soon on Android, RYMDKRAFT... Promise 😉 /T",,,
176,@115888 please update your podcasts. I need my @12743 fix!,"@605608 1. Hey Rich! Licensing and ownership constraints also apply to non-musical content, such as podcasts and videos. Don't worry, we'll...",,,,,"@605608 1. Hey Rich! Licensing and ownership constraints also apply to non-musical content, such as podcasts and videos. Don't worry, we'll...",,,
177,.@115888 the activity stream in the desktop app would be so much better with a tiny like-button...,"@571181 Hey there! That'd be cool. You can submit your ideas at https://t.co/HhviviR3d7. For anything else, we're just a tweet away 🙂 /RC",,,,,"@571181 Hey there! That'd be cool. You can submit your ideas at https://t.co/HhviviR3d7. For anything else, we're just a tweet away 🙂 /RC",,,
178,@SpotifyCares @477814 Is it ever going to happen? How can you not offer a product across the full OS Spectrum. Bogus especially since Apple Watch has cellular now,"@510005 We see where you're coming from. We don't have any info to share right now, but hopefully it happens soon /RH",,,,,"@510005 We see where you're coming from. We don't have any info to share right now, but hopefully it happens soon /RH",,,
179,@115888 hi can you help my premium account has been downgraded to a free account and I don’t know why,"@186977 Hi Neil, help's here! Could you DM us your username and email address? We'll take a closer look 🔍 /JQ https://t.co/ldFdZRiNAt",,,,,"@186977 Hi Neil, help's here! Could you DM us your username and email address? We'll take a closer look 🔍 /JQ https://t.co/ldFdZRiNAt",,,
180,@SpotifyCares Does Spotify Mac do a fade in on play if it’s been idle for a while or is it my amp? Cross fade tracks is off in the settings.,"@270402 Hi Joris, help's arrived! Just to check, do you hear fade in while playing music on other speakers? Let us know /TY",,,,,"@270402 Hi Joris, help's arrived! Just to check, do you hear fade in while playing music on other speakers? Let us know /TY",,,
