golden_id,customer_issue,support_response,human_relevance,human_helpfulness,human_response_quality,human_notes
166,"hi after of 3 months, how much money would have I pay to listen music? Any feature of Spotify app is free? Why you make services have a cost? Tell me motives please. Thanks",Hi David! Free users could stream music in shuffle using the mobile app while connected to the internet. We'd suggest playing music on-demand using a computer or a tablet. Here's how to make the most out of Spotify Free: /JE,,,,
167,when is the album 'trial by fire' from yelawolf on Spotify? Supposed to release yesterday at midnight,Hey there! Is this what you're looking for: Happy listening 🎧 /GN,,,,
168,do high school students qualify for the student discount?,Hi there. We've just sent a DM your way. Let's carry on chatting there /JU,,,,
169,Just a small thing but when playing a song and then I play that song's radio which has that song as the first in the list then Spotify should just continue playing the song instead of starting from the beginning. Hope that makes sense.,"Hey James, we can see how that’d be useful! We’d recommend suggesting it in our Community where you can get support from other fans: /TB",,,,
170,"You closed a bunch of threads about blocking particular artists from playlist radio, saying you weren't going to implement it, Why not?","Hey! We're afraid we have no info to share about this. We appreciate you sharing your thoughts on this. No worries, we'll make sure they're passed on to the relevant folks /RC",,,,
171,my playlist is followed by two people I made it private but I still have them as followers. How can I delete them? Thanks,Hey! We're afraid it's not possible at the moment. We can see how that’d be useful. You can vote for it here: /BP,,,,
172,"hey, I'm struggling to create a playlist that's assigned to an artist page I control - could you help me out? Thanks",Hey! We've replied to your DM. Check it out and we'll continue over there /RC,,,,
173,Hi! I tried updating my payment. I dmed you what it looks like,Hi there! We've just replied to your DM. Let's carry on chatting there /RH,,,,
174,"Please bring back ""Beggin"" by Madcon and ""Hilo bay"" by The Polynesians my playlist are incomplete how am I supposed to bump😩😭",Hey there! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon /RA,,,,
175,I'm trying to switch credit cards but it keeps trying to get me to sign up for student account...how do I avoid this?,Hi Chris! Can you DM us your account's username or email address? We'll take a look and see what we can suggest /MC,,,,
176,Dear . I love you. But. I would like to listen to Explosions in the Sky for work w/out it affecting my Discover Weekly. Halp?,Hey Steve! Here's some info on how to open a private session: Hope that help's 🙂 /KL,,,,
177,I've been a premium user for a while now. Why can't I play downloaded songs when not connected to WiFi or when data is off?,"Hey, sorry to hear that! Check out the steps under “Downloaded songs won't play” at They should help with this /MG",,,,
178,how can have same address for family account? Is it just the postalcode address ?,Hey Aly! Could you send us a DM with your account's email address or username? We'll check things out /AY,,,,
179,why is the Charlotte Gainsbourg Rest album cover just a white square,"Hey Chris, we appreciate your feedback! Don't worry, we'll pass this on to the right team. Let us know if you have other questions /GK",,,,
180,IS REPUTATION NOT ON SPOTIFY,"Hey Sam! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: /DD",,,,
181,"ummm why won't Lana Del Rey, Kendrick Lamar or Ed Sheeran tracks play on my Spotify anymore? I'm dying here son!","Hey there, help's here! Are you getting any error messages when trying to play a song? Keep us updated /KL",,,,
182,honestly this whole not loading shit is getting old,"Hi Karmeno, help's here! Could you DM us your email address and username? We'll take a closer look /JQ",,,,
183,"Hey : it would be cool if we could send tracks we’re listening to, to our friends. #userexperience","Hey Phil, good news! Sending tracks to your friends through Spotify is easy. Just tap the three dots > Share, and go from there /TR",,,,
184,"So... , why there's no Spanish version of ' Be With You and 's Gypsy in there?",Hey there! We'd love to have those on Spotify! Hopefully we will in the future. Check this out: /LO,,,,
185,Dear I watched your ad for 30 minutes of ad free music and did not receive 30 minutes of ad free music #sad,"Hey, that doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /JN",,,,
186,Im having an issue updating payment information. Every time I put in my credit card it takes me to a student activation page.,Hey Jorn! Could you DM us your Spotify account's email address? We'll see what we can suggest /BH,,,,
187,why do I keep getting these messages in German when I ask for help??,We've just sent you a DM 🙂 /SU,,,,
188,being ignored all day by your service I would like a response to my DM,Hey Murr! Apologies for the delay. We've just sent a DM your way. Let's carry on chatting there /CP,,,,
189,#RapCavier ? Details,Hey there! Can you let us know how we can help? /GS,,,,
190,Hi so I shuffled 's music and then Katy perry came on and idk if you've heard those artists but they are very different so wth,Hey Clarissa! Can you DM us your account's email address? We'll check things backstage and see what we can suggest /RI,,,,
191,"Just saw where you took Demons & Wizards off of Spotify. Was this due to licensing, or something else?","Hey Matt! We understand. Sometimes content gets temporarily removed because of licensing changes, and availability can vary for each country. Hopefully, we'll have it available soon! Stay awesome 😁 /TI",,,,
192,"Hi , have paid for premium and all accounts state that payment has been received but its not allowing me to skip forward","Hey Erin, help's here! Could you DM us your account's username and email address? We'll take a look backstage /DQ",,,,
193,hi. You are charging me for two accounts and have done for a while now. Can you help me with this? My bank said to try you first.,Hey Troy! Could you send us a DM with your account's email address or username? We'll take a look backstage /DR,,,,
194,there needs to be a setting to skip spoken word intros to songs. no one listens to ‘da booty’ for the riddle!,"Hey Meg! Don't worry, we'll pass on your suggestion to the right folks. For anything else, we're just a tweet away /JP",,,,
195,Fam why is “Rain On Me” NOT on Chapter II ??,Hey there! We'd love to have all her stuff available but we have some more info about missing content at Let us know if you need anything else 🙂 /KL,,,,
196,you charged me 4.99 and I still have ads and no skips. What's up with that. Dm me.,Hey there! We're unable to send first DMs here. Could you send us a DM with your account's username or email address instead? /DB,,,,
197,"first no reputation, now no perfect velvet? MAGSARA KA NA","Sorry you feel that way. We're working on it as of the moment, so just stay tuned. If you need more help, we'll be right here /NY",,,,
198,"just noticed the new like/dont like actions on my discover weekly, but cant find any info on what they do/where they go? Bringing back stars (please oh please) or more like radio thumbs up/down for learning?","Hey Ryan! By giving a track a thumbs up or down, you help personalize your Spotify radio stations. Also, any songs that you do like will be added to your ""Liked from Radio"" Spotify playlist. Let us know if you have any other questions. We'll come running 🏃 /JJ",,,,
199,when are you going to bring sort and search functionality in the Spotify Web Player? Also I need last.fm functionality back!,"Hey Vyasa, we appreciate your feedback! Don't worry, we'll let our devs team know this is something you'd like to see /GK",,,,
200,Can't connect Spotify and Hulu. I get an error saying they're having trouble authorizing my account with Spotify,"Hey, help's here! Could you contact Hulu's customer support here: so they can check on their end? Keep us posted /JQ",,,,
